Date,Symbol,Close,High,Low,Open,Volume,holiday,pre_holiday,post_holiday,Return,weekend
2021-03-03,GOOGL,99.97093963623047,103.18068584904677,99.10562298141046,101.98585584761308,33892000.0,0,0,0,-0.025706222943855717,0
2021-03-04,GOOGL,101.0902328491211,103.11111014541319,99.6737250390312,100.14291130389655,49216000.0,0,0,0,0.011196185781222612,0
2021-03-05,GOOGL,104.22840881347656,104.682184565585,100.7845622503738,102.44311816058544,53100000.0,0,1,0,0.03104331522353143,0
2021-03-06,GOOGL,,,,,,1,1,0,,1
2021-03-07,GOOGL,,,,,,1,0,1,,1
2021-03-08,GOOGL,99.776611328125,105.05694015663707,99.66179848951317,103.58179349976488,36868000.0,0,0,1,-0.04271193944175378,0
2021-03-09,GOOGL,101.40980529785156,102.58078390599177,101.17322519460917,101.8765115960863,33920000.0,0,0,0,0.016368505083377283,0
2021-03-10,GOOGL,101.20255279541016,102.45553624069301,100.36457612969325,102.45553624069301,27100000.0,0,0,0,-0.0020437126551291485,0
2021-03-11,GOOGL,104.40087127685547,104.93417190677165,102.2095153267272,102.29748869571223,27702000.0,0,0,0,0.031603140366537996,0
2021-03-12,GOOGL,101.88894653320312,103.26121747499423,101.01518887344112,103.20157759168026,33818000.0,0,1,0,-0.024060381038306655,0
2021-03-13,GOOGL,,,,,,1,1,0,,1
2021-03-14,GOOGL,,,,,,1,0,1,,1
2021-03-15,GOOGL,102.10961151123047,102.13694392664934,100.7850586948733,101.63943177795537,26168000.0,0,0,1,0.0021657401075929616,0
2021-03-16,GOOGL,103.57333374023438,105.05394823613396,102.35066321959762,102.6836651603778,31900000.0,0,0,0,0.014334813416099657,0
2021-03-17,GOOGL,103.49034118652344,104.32433638453885,101.59669907844872,102.80693972535195,26382000.0,0,0,0,-0.0008012926755750494,0
2021-03-18,GOOGL,100.4644775390625,102.8208441665596,100.35711969602488,101.79847230274098,31700000.0,0,0,0,-0.029238126116594265,0
2021-03-19,GOOGL,100.74380493164062,101.2447981089968,99.54946783582494,100.88148325652291,46072000.0,0,1,0,0.0027803597791022927,0
2021-03-20,GOOGL,,,,,,1,1,0,,1
2021-03-21,GOOGL,,,,,,1,0,1,,1
2021-03-22,GOOGL,100.92919921875,101.80643786573516,100.09967096009193,100.77711145408435,33536000.0,0,0,1,0.001840254963917376,0
2021-03-23,GOOGL,101.45802307128906,102.59023280291949,100.79550014662847,101.38943417569008,28510000.0,0,0,0,0.005239552643164336,0
2021-03-24,GOOGL,101.0206527709961,102.76369351169588,100.84519897592622,101.97641523149667,25218000.0,0,0,0,-0.0043108498180144394,0
2021-03-25,GOOGL,101.01715850830078,101.67222637151875,99.20949549383704,100.84767327389312,35616000.0,0,0,0,-3.4589587371125496e-05,0
2021-03-26,GOOGL,100.63296508789062,101.3615892994859,99.59518276038922,100.98385746386866,27978000.0,0,1,0,-0.0038032491319639483,0
2021-03-27,GOOGL,,,,,,1,1,0,,1
2021-03-28,GOOGL,,,,,,1,0,1,,1
2021-03-29,GOOGL,101.6796875,101.84967328278017,99.67471376192738,100.50523544739357,26492000.0,0,0,1,0.01040138697289894,0
2021-03-30,GOOGL,101.71349334716797,102.5186620523971,101.200570667634,102.0370533430226,27312000.0,0,0,0,0.00033247394832880417,0
2021-03-31,GOOGL,102.5112075805664,103.691135273399,101.7398327806629,102.10762973353887,42570000.0,0,0,0,0.007842757210940299,0
2021-04-01,GOOGL,105.85415649414062,106.15087702532409,103.94809205702012,103.98884799656209,39880000.0,0,1,0,0.03261057002910528,0
2021-04-02,GOOGL,,,,,,1,1,0,,0
2021-04-03,GOOGL,,,,,,1,1,1,,1
2021-04-04,GOOGL,,,,,,1,0,1,,1
2021-04-05,GOOGL,110.28656768798828,110.78508090594373,106.62105118017679,106.71747302389434,48510000.0,0,0,1,0.041872811995748105,0
2021-04-06,GOOGL,109.80445861816406,110.73587664177695,109.43318825749175,109.88696398541468,35240000.0,0,0,0,-0.0043714214698217235,0
2021-04-07,GOOGL,111.28408813476562,111.55595617679857,109.99531621658699,109.99531621658699,24134000.0,0,0,0,0.013475131476644808,0
2021-04-08,GOOGL,111.85069274902344,112.91232656117008,111.48190231421209,112.52514514164997,28664000.0,0,0,0,0.005091515092181531,0
2021-04-09,GOOGL,112.8566665649414,113.02068382149089,111.19612361284226,111.60268953073938,26146000.0,0,1,0,0.008993898841335168,0
2021-04-10,GOOGL,,,,,,1,1,0,,1
2021-04-11,GOOGL,,,,,,1,0,1,,1
2021-04-12,GOOGL,111.56192016601562,112.17175759361518,110.72692401349936,112.03408686258977,25024000.0,0,0,1,-0.011472484863627841,0
2021-04-13,GOOGL,112.04949188232422,112.49880068044307,111.48388381136964,111.87852019619389,25682000.0,0,0,0,0.00437041344916822,0
2021-04-14,GOOGL,111.42723083496094,112.69562482936433,111.13449185940385,112.69562482936433,21002000.0,0,0,0,-0.005553448185349974,0
2021-04-15,GOOGL,113.58131408691406,114.11561581493157,111.88747780482413,112.4232659794818,29174000.0,0,0,0,0.019331748943340665,0
2021-04-16,GOOGL,113.45706176757812,114.028137894627,112.86908868549459,113.77962827946733,26282000.0,0,1,0,-0.0010939503591308464,0
2021-04-17,GOOGL,,,,,,1,1,0,,1
2021-04-18,GOOGL,,,,,,1,0,1,,1
2021-04-19,GOOGL,113.80546569824219,114.517693534385,112.83230581935418,112.83230581935418,30290000.0,0,0,1,0.003070799871212726,0
2021-04-20,GOOGL,113.27117919921875,114.2647171138404,112.18320641815687,114.18966672528495,22288000.0,0,0,0,-0.004694734965015712,0
2021-04-21,GOOGL,113.23836517333984,113.32036999891838,111.5718539010652,112.92524067149144,23204000.0,0,0,0,-0.00028969439632298144,0
2021-04-22,GOOGL,111.95457458496094,113.76173728646243,111.3482105201663,113.09175178759868,24146000.0,0,0,0,-0.0113370639571998,0
2021-04-23,GOOGL,114.31094360351562,114.61860014963688,112.38847507377683,112.67425961854197,29066000.0,0,1,0,0.021047545643313237,0
2021-04-24,GOOGL,,,,,,1,1,0,,1
2021-04-25,GOOGL,,,,,,1,0,1,,1
2021-04-26,GOOGL,114.8079605102539,115.53361191915532,114.18121847579614,114.5390729262254,32038000.0,0,0,1,0.00434793809822942,0
2021-04-27,GOOGL,113.86610412597656,115.23141284590002,113.62653596590245,115.1906569089524,44386000.0,0,0,0,-0.008203755036596316,0
2021-04-28,GOOGL,117.24881744384766,120.84425101769104,116.95955191373707,118.91184018096784,81106000.0,0,0,0,0.029707816420315947,0
2021-04-29,GOOGL,118.92476654052734,119.49136812496106,117.9849000180971,118.74932034044583,41234000.0,0,0,0,0.014293953092382683,0
2021-04-30,GOOGL,116.97346496582031,118.38251006906592,116.62853353969344,117.69513473951937,44856000.0,0,1,0,-0.016407865505811747,0
2021-05-01,GOOGL,,,,,,1,1,0,,1
2021-05-02,GOOGL,,,,,,1,0,1,,1
